ID;Status;Agendamento;Analista;Agência;Gestor;Projeto;Técnico;Demanda;Descrição;Observação;Data de Abertura;Data de Finalização;Log Agendamento;Etapas_Concluidas
;EM ANDAMENTO ;2025-09-23;MARCELA;AG 6506 BELO HORIZONTE-JARAGUA;DANILO;Unificadas;N/A;Instalação nova;"Realizar vistoria de infra
Fornecer e instalar a(s) câmera(s) n° 23 (Dori-PG) e 24 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmera(s) n° 25 (escudo)
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-06;MARCELA;AG 3153 CONGONHAS-MG;DANILO;Unificadas;Jose Vieira;Instalação nova;"Validar infra
Fornecer e instalar a(s) câmera(s) n° 28 (Dori-PG) e Nº29 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmera(s) Nº31 (Corredor Caixa).
Verificar a necessidade de um Switch
Recolher todas as infras de CFTV remanescente
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-09-23;MARCELA;AG 2932 BELO HORIZONTE-CIDADE NOVA;DANILO;Unificadas;Eduardo Duarte;Instalação nova;"
Realizar vistoria de infra
Fornecer e instalar a(s) câmera(s) n° 34 (Dori-PG) e 35 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
Fornecer e instalar a(s) câmera(s) n° 36 (escudo)
Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-06;MARCELA;AG 4875 BELO HORIZONTE-BAIRRO RENASCENCA;SABRINA;Unificadas;Eduardo Duarte;Instalação nova;"No dia 06/10/2025 às 09h


Validar infra

Fornecer e instalar as câmeras n° 29 (Dori-PG) e 30 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO

Fornecer e instalar a câmera n° 31 (escudo) e n° 14 (CBL)


*Recolher todas as infras de CFTV remanescente

*Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras

*Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-16;MARCELA;AG 3137 SETE LAGOAS-CENTRO;SABRINA;Unificadas;Eduardo Duarte;Instalação nova;"
No dia 16/10/2025 às 09h

	Validar infra
	Fornecer e instalar a(s) câmera(s) n° 44 (Dori-PG), nº45 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
	Fornecer e instalar a(s) câmera(s) nº28 (com foco para mesa da tesouraria), n° 46 (escudo), nº30 (Cofre CBL)
	Verificar a necessidade instalação de 01 switch
	Recolher todas as infras de CFTV remanescente
	Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
	Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-06;MARCELA;AG 2078 HORTOLANDIA-SP;SABRINA;Unificadas;Fabio Barbosa;Instalação nova;"Validar infra
 
§ Fornecer e instalar a câmera(s) n° 33 (Dori-PG ) e 34 (Dori-SIF) - Modelo da câmera a ser instalada: FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO
 
§ Fornecer e instalar a câmera n° 35 (Escudo)
 
§ Recolher todas as infras de CFTV remanescente
 
§ Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras
 
§ Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal";;;;;
;NÃO INICIADO;2025-10-17;MARCELA;AG 4273 SAO VICENTE-ITARARE;SABRINA;Unificadas;Manoel Xavier;Instalação nova;"No dia 17/10/2025 às 09h

*             Validar infra

*             Fornecer e instalar as câmeras n° 25 (Dori-PG) e nº 26 (Dori-SIF) - Modelo da câmera a ser instalada:  FD9388-HTV CÂMERA OUTDOOR FIXED DOME, 5MP 20FPS, H.265/H.264 - NO AUDIO

*             Fornecer e instalar a câmera n° 27 (Escudo/B40)

* Ajustar Câmera 09 (Caixas) - Não focaliza todos os Caixas

*             Recolher todas as infras de CFTV remanescente

*             Verificar se há alguma infra para câmera no local que não constam no layout e nos avisar para ver a necessidade de instalação de novas câmeras

*             Verificar se as demais câmeras contempladas na normativa estão adequadas ao que é exigido pela Polícia Federal
";;;;;
;NÃO INICIADO;2025-10-27;MARCELA;AG 3835 CURITIBA-COMENDADOR;GILSON;Moderzinação;Maicon Mendes;Vistoria;"27/10/2025 - segunda-feira – 09hrs
Conjunta vistoria com a construtora – SALA ONLINE
Acompanhar abertura da agência, após troca do quadro elétrico – garantir funcionamento de todos os sistemas de segurança ";;;;;
;NÃO INICIADO;2025-10-24;MARCELA;AG 3804 BELO HORIZONTE-VENDA NOVA;GILSON;Espaço Simplificado;Eduardo Duarte;Desinstalação Parcial;"AGENDAR:
Sexta-feira - 24/10/25 às 17 hs – desativação dos itens abaixo:
-01 fechadura biométrica em porta que será eliminada no superior – RECOLHER ";;;;;
;NÃO INICIADO;2025-10-20;MARCELA;AG 3804 BELO HORIZONTE-VENDA NOVA;GILSON;Espaço Simplificado;Eduardo Duarte;Reinstalação Parcial;"20/10/2025 – segunda-feira – 09hrs
Conjunta vistoria infra 
Reinstalar:  AA 06 hrs
01 sísmico ATM 06hrs";;;;;
